"vtkOriginalPointIds","Points:0","Points:1","Points:2"
2214,37.019702911377,4.5781998634338,0.11917083710432
2219,36.953861236572,4.5781998634338,0.11797198653221
2220,37.007476806641,4.5781998634338,0.11892591416836
2225,36.873420715332,4.5781998634338,0.11729729920626
2226,36.900234222412,4.5781998634338,0.11739103496075
2233,36.839900970459,4.5781998634338,0.11743918061256
2234,36.844024658203,4.5781998634338,0.11739735305309
2238,36.854354858398,4.5781998634338,0.11733121424913
2242,36.818126678467,4.5781998634338,0.11807233095169
2243,36.819797515869,4.5781998634338,0.11798124760389
2247,36.829845428467,4.5781998634338,0.11761348694563
2248,36.833198547363,4.5781998634338,0.11754040420055
2256,36.823951721191,4.5781998634338,0.11779636889696
2257,36.826499938965,4.5781998634338,0.11770756542683
2264,36.823150634766,4.5781998634338,0.11782808601856
2270,36.805606842041,4.5781998634338,0.11916049569845
2276,36.811443328857,4.5781998634338,0.11855133622885
2279,36.815650939941,4.5781998634338,0.11822682619095
2280,36.816455841064,4.5781998634338,0.11817402392626
2289,36.813110351562,4.5781998634338,0.11841268837452
2292,36.809196472168,4.5781998634338,0.11876057088375
2293,36.809772491455,4.5781998634338,0.11870427429676
2302,36.807270050049,4.5781998634338,0.11896400898695
2306,36.808101654053,4.5781998634338,0.11887308955193
2309,36.806438446045,4.5781998634338,0.11905968934298
2312,36.799392700195,4.5781998634338,0.12011550366879
2313,36.7998046875,4.5781998634338,0.12003830820322
2320,36.802284240723,4.5781998634338,0.11962193995714
2324,36.804714202881,4.5781998634338,0.11927423626184
2325,36.804775238037,4.5781998634338,0.11926665902138
2331,36.803115844727,4.5781998634338,0.1194971576333
2333,36.801288604736,4.5781998634338,0.11978144943714
2334,36.801460266113,4.5781998634338,0.11975342035294
2337,36.800632476807,4.5781998634338,0.11989181488752
2341,36.796489715576,4.5781998634338,0.1208161637187
2342,36.796546936035,4.5781998634338,0.1207984238863
2346,36.798164367676,4.5781998634338,0.12036938965321
2347,36.798168182373,4.5781998634338,0.12036918848753
2350,36.79857635498,4.5781998634338,0.12028016895056
2351,36.798988342285,4.5781998634338,0.12019594758749
2352,36.79931640625,4.5781998634338,0.1201311275363
2358,36.796947479248,4.5781998634338,0.12067705392838
2359,36.797416687012,4.5781998634338,0.12054844200611
2360,36.797756195068,4.5781998634338,0.1204641610384
2367,36.796871185303,4.5781998634338,0.12069923430681
2372,36.794979095459,4.5781998634338,0.12145134806633
2373,36.795001983643,4.5781998634338,0.12143984436989
2375,36.795650482178,4.5781998634338,0.12112613022327
2376,36.795757293701,4.5781998634338,0.12108132243156
2378,36.795886993408,4.5781998634338,0.12102972716093
2379,36.796146392822,4.5781998634338,0.12093233317137
2387,36.795269012451,4.5781998634338,0.12129916250706
2388,36.795375823975,4.5781998634338,0.1212489977479
2408,38.079963684082,4.5781998634338,0.13237488269806
2411,38.294471740723,4.5781998634338,0.13086406886578
2412,38.401706695557,4.5781998634338,0.12879405915737
2500,38.122570037842,4.5781998634338,0.13237276673317
2510,36.793918609619,4.5781998634338,0.12262140214443
2511,36.793918609619,4.5781998634338,0.12260472774506
2514,36.794036865234,4.5781998634338,0.12227392941713
2515,36.794052124023,4.5781998634338,0.12224536389112
2516,36.794013977051,4.5781998634338,0.12230484187603
2518,36.794002532959,4.5781998634338,0.12233427911997
2519,36.79398727417,4.5781998634338,0.12236189842224
2520,36.793918609619,4.5781998634338,0.12258817255497
2521,36.793918609619,4.5781998634338,0.12257149815559
2522,36.793926239014,4.5781998634338,0.12255461513996
2524,36.793930053711,4.5781998634338,0.12251891940832
2525,36.793933868408,4.5781998634338,0.12249989062548
2527,36.793930053711,4.5781998634338,0.12253714352846
2529,36.793949127197,4.5781998634338,0.12245854735374
2530,36.793956756592,4.5781998634338,0.12243609875441
2533,36.793941497803,4.5781998634338,0.1224799528718
2536,36.793975830078,4.5781998634338,0.12238815426826
2537,36.793964385986,4.5781998634338,0.12241270393133
2544,36.794326782227,4.5781998634338,0.12191707640886
2545,36.794380187988,4.5781998634338,0.12186845391989
2547,36.794319152832,4.5781998634338,0.12192522734404
2550,36.794437408447,4.5781998634338,0.12181775271893
2551,36.794578552246,4.5781998634338,0.12170877307653
2552,36.7946434021,4.5781998634338,0.12166159600019
2554,36.794506072998,4.5781998634338,0.1217647343874
2556,36.794162750244,4.5781998634338,0.12209279090166
2557,36.79419708252,4.5781998634338,0.12205125391483
2558,36.794132232666,4.5781998634338,0.12213241308928
2560,36.794105529785,4.5781998634338,0.12217041105032
2562,36.794075012207,4.5781998634338,0.12220661342144
2564,36.794055938721,4.5781998634338,0.12224122881889
2568,36.794281005859,4.5781998634338,0.12196359783411
2569,36.794235229492,4.5781998634338,0.12200836092234
2574,36.795112609863,4.5781998634338,0.12137735635042
2581,36.795444488525,4.5781998634338,0.12121567130089
2583,36.79475402832,4.5781998634338,0.12158764153719
2584,36.794860839844,4.5781998634338,0.12152151018381
2586,36.794658660889,4.5781998634338,0.12164994329214
2588,36.797348022461,4.5781998634338,0.12056616693735
2589,36.796165466309,4.5781998634338,0.12092631310225
2590,36.803943634033,4.5781998634338,0.11937893182039
2591,36.808937072754,4.5781998634338,0.11878658086061
2592,36.814781188965,4.5781998634338,0.11828714609146
2593,38.508918762207,4.5781998634338,0.1256136149168
