X	S11	S12	S22					
5.80E-01	-90.2344	1.39E+04	-163.748					
5.83E-01	-91.7813	1.39E+04	-164.429					
5.85E-01	-93.3281	1.39E+04	-165.115					
5.88E-01	-94.875	1.39E+04	-165.807					
5.90E-01	-96.4375	1.39E+04	-166.503					
5.93E-01	-98	1.39E+04	-167.203					
5.95E-01	-99.5469	1.39E+04	-167.909					
5.98E-01	-101.094	1.39E+04	-168.619					
6.00E-01	-102.656	1.39E+04	-169.333					
6.03E-01	-104.219	1.39E+04	-170.052					
6.05E-01	-105.766	1.39E+04	-170.776					
6.08E-01	-107.297	1.39E+04	-171.502					
6.10E-01	-108.844	1.39E+04	-172.232					
6.13E-01	-110.391	1.39E+04	-172.967					
6.15E-01	-111.938	1.39E+04	-173.706					
6.18E-01	-113.484	1.39E+04	-174.447					
6.20E-01	-115.016	1.39E+04	-175.192					
6.23E-01	-116.563	1.39E+04	-175.941					
6.25E-01	-118.109	1.39E+04	-176.693					
6.28E-01	-119.625	1.39E+04	-177.447					
6.30E-01	-121.156	1.39E+04	-178.205					
6.33E-01	-122.703	1.39E+04	-178.965					
6.35E-01	-124.219	1.39E+04	-179.728					
6.38E-01	-125.734	1.39E+04	-180.494					
6.40E-01	-127.266	1.39E+04	-181.262					
6.43E-01	-128.781	1.39E+04	-182.032					
6.45E-01	-130.281	1.39E+04	-182.804					
6.48E-01	-131.797	1.39E+04	-183.578					
6.50E-01	-133.313	1.39E+04	-184.355					
6.53E-01	-134.813	1.39E+04	-185.133					
6.55E-01	-136.313	1.39E+04	-185.912					
6.58E-01	-137.813	1.39E+04	-186.694					
6.60E-01	-139.313	1.39E+04	-187.476					
6.63E-01	-140.813	1.39E+04	-188.259					
6.65E-01	-142.297	1.39E+04	-189.044					
6.68E-01	-143.781	1.39E+04	-189.831					
6.70E-01	-145.25	1.39E+04	-190.618					
6.73E-01	-146.711	1.39E+04	-191.405					
6.75E-01	-148.188	1.39E+04	-192.193					
6.78E-01	-149.656	1.39E+04	-192.981					
6.80E-01	-151.109	1.39E+04	-193.77					
6.83E-01	-152.563	1.39E+04	-194.56					
6.85E-01	-154.016	1.39E+04	-195.349					
6.88E-01	-155.453	1.39E+04	-196.138					
6.90E-01	-156.891	1.39E+04	-196.928					
6.93E-01	-158.328	1.39E+04	-197.717					
6.95E-01	-159.758	1.39E+04	-198.505					
6.98E-01	-161.172	1.39E+04	-199.292					
7.00E-01	-162.586	1.39E+04	-200.08					
7.03E-01	-164	1.39E+04	-200.866					
7.05E-01	-165.398	1.39E+04	-201.651					
7.08E-01	-166.797	1.39E+04	-202.436					
7.10E-01	-168.195	1.39E+04	-203.22					
7.13E-01	-169.578	1.39E+04	-204.002					
7.15E-01	-170.953	1.39E+04	-204.783					
7.18E-01	-172.328	1.39E+04	-205.563					
7.20E-01	-173.695	1.39E+04	-206.34					
7.23E-01	-175.047	1.39E+04	-207.114					
7.25E-01	-176.398	1.39E+04	-207.889					
7.28E-01	-177.742	1.39E+04	-208.661					
7.30E-01	-179.07	1.39E+04	-209.43					
7.33E-01	-180.406	1.39E+04	-210.198					
7.35E-01	-181.734	1.39E+04	-210.963					
7.38E-01	-183.039	1.39E+04	-211.726					
7.40E-01	-184.344	1.39E+04	-212.486					
7.43E-01	-185.641	1.39E+04	-213.244					
7.45E-01	-186.93	1.39E+04	-213.997					
7.48E-01	-188.211	1.39E+04	-214.748					
7.50E-01	-189.477	1.39E+04	-215.497					
7.53E-01	-190.742	1.39E+04	-216.242					
7.55E-01	-192	1.39E+04	-216.984					
7.58E-01	-193.25	1.39E+04	-217.723					
7.60E-01	-194.484	1.39E+04	-218.457					
7.63E-01	-195.711	1.39E+04	-219.188					
7.65E-01	-196.93	1.39E+04	-219.915					
7.68E-01	-198.141	1.39E+04	-220.639					
7.70E-01	-199.344	1.39E+04	-221.358					
7.73E-01	-200.531	1.39E+04	-222.073					
7.75E-01	-201.719	1.39E+04	-222.785					
7.78E-01	-202.891	1.39E+04	-223.491					
7.80E-01	-204.047	1.39E+04	-224.193					
7.83E-01	-205.203	1.39E+04	-224.892					
7.85E-01	-206.352	1.39E+04	-225.584					
7.88E-01	-207.492	1.39E+04	-226.272					
7.90E-01	-208.617	1.39E+04	-226.956					
7.93E-01	-209.719	1.39E+04	-227.634					
7.95E-01	-210.82	1.39E+04	-228.307					
7.98E-01	-211.922	1.39E+04	-228.976					
8.00E-01	-213.008	1.39E+04	-229.639					
8.03E-01	-214.078	1.39E+04	-230.297					
8.05E-01	-215.141	1.39E+04	-230.949					
8.08E-01	-216.195	1.39E+04	-231.595					
8.10E-01	-217.234	1.39E+04	-232.236					
8.13E-01	-218.258	1.39E+04	-232.871					
8.15E-01	-219.273	1.39E+04	-233.499					
8.18E-01	-220.281	1.39E+04	-234.122					
8.20E-01	-221.273	1.39E+04	-234.74					
8.23E-01	-222.25	1.39E+04	-235.35					
8.25E-01	-223.227	1.39E+04	-235.955					
8.28E-01	-224.195	1.39E+04	-236.554					
8.30E-01	-225.141	1.39E+04	-237.145					
8.33E-01	-226.07	1.39E+04	-237.729					
8.35E-01	-226.996	1.39E+04	-238.308					
8.38E-01	-227.914	1.39E+04	-238.88					
8.40E-01	-228.813	1.39E+04	-239.445					
8.43E-01	-229.699	1.39E+04	-240.003					
8.45E-01	-230.578	1.39E+04	-240.555					
8.48E-01	-231.445	1.39E+04	-241.099					
8.50E-01	-232.301	1.39E+04	-241.635					
8.53E-01	-233.141	1.39E+04	-242.165					
8.55E-01	-233.965	1.39E+04	-242.687					
8.58E-01	-234.781	1.39E+04	-243.202					
8.60E-01	-235.586	1.39E+04	-243.711					
8.63E-01	-236.375	1.39E+04	-244.21					
8.65E-01	-237.152	1.39E+04	-244.702					
8.68E-01	-237.914	1.39E+04	-245.187					
8.70E-01	-238.66	1.39E+04	-245.664					
8.73E-01	-239.398	1.39E+04	-246.134					
8.75E-01	-240.125	1.39E+04	-246.595					
8.78E-01	-240.836	1.39E+04	-247.048					
8.80E-01	-241.535	1.39E+04	-247.493					
8.83E-01	-242.223	1.39E+04	-247.93					
8.85E-01	-242.895	1.39E+04	-248.359					
8.88E-01	-243.551	1.39E+04	-248.78					
8.90E-01	-244.191	1.39E+04	-249.192					
8.93E-01	-244.824	1.39E+04	-249.596					
8.95E-01	-245.445	1.39E+04	-249.992					
8.98E-01	-246.047	1.39E+04	-250.378					
9.00E-01	-246.633	1.39E+04	-250.757					
9.03E-01	-247.207	1.39E+04	-251.128					
9.05E-01	-247.77	1.39E+04	-251.489					
9.08E-01	-248.316	1.39E+04	-251.841					
9.10E-01	-248.852	1.39E+04	-252.185					
9.13E-01	-249.375	1.39E+04	-252.521					
9.15E-01	-249.883	1.39E+04	-252.847					
9.18E-01	-250.373	1.39E+04	-253.164					
9.20E-01	-250.848	1.39E+04	-253.472					
9.23E-01	-251.313	1.39E+04	-253.771					
9.25E-01	-251.764	1.39E+04	-254.063					
9.28E-01	-252.199	1.39E+04	-254.344					
9.30E-01	-252.619	1.39E+04	-254.615					
9.33E-01	-253.025	1.39E+04	-254.878					
9.35E-01	-253.418	1.39E+04	-255.132					
9.38E-01	-253.795	1.39E+04	-255.377					
9.40E-01	-254.156	1.39E+04	-255.611					
9.43E-01	-254.506	1.39E+04	-255.837					
9.45E-01	-254.844	1.39E+04	-256.054					
9.48E-01	-255.162	1.39E+04	-256.261					
9.50E-01	-255.465	1.39E+04	-256.459					
9.53E-01	-255.752	1.39E+04	-256.646					
9.55E-01	-256.027	1.39E+04	-256.825					
9.58E-01	-256.29	1.39E+04	-256.995					
9.60E-01	-256.535	1.39E+04	-257.154					
9.63E-01	-256.767	1.39E+04	-257.304					
9.65E-01	-256.981	1.39E+04	-257.445					
9.68E-01	-257.183	1.39E+04	-257.576					
9.70E-01	-257.37	1.39E+04	-257.697					
9.73E-01	-257.54	1.39E+04	-257.808					
9.75E-01	-257.697	1.39E+04	-257.91					
9.78E-01	-257.84	1.39E+04	-258.003					
9.80E-01	-257.966	1.39E+04	-258.085					
9.83E-01	-258.079	1.39E+04	-258.158					
9.85E-01	-258.175	1.39E+04	-258.222					
9.88E-01	-258.258	1.39E+04	-258.275					
9.90E-01	-258.326	1.39E+04	-258.319					
9.93E-01	-258.377	1.38E+04	-258.354					
9.95E-01	-258.415	1.42E+04	-258.38					
9.98E-01	-258.43	1.40E+04	-258.387					
1	-258.429	1.32E+04	-258.384					
